,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
3445,Tou Travel Ariki,Cook Island,717545630,Stub,,,,,,,left_only
3467,Piho Rua,Cook Island,717593716,Start,,,,,,,left_only
3496,Luka Svetec,Carniolan,717669055,Start,,,,,,,left_only
3550,María Josefa Lastiri,Hondura,717808509,Start,,,,,,,left_only
3569,Norris Henry Young,Pitcairn Islands,717867039,Stub,,,,,,,left_only
3578,Robert Woonton,Cook Island,717897925,Start,,,,,,,left_only
3580,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,,,,,,left_only
3589,Ben Shenton,Jersey,717911161,Start,,,,,,,left_only
3594,Hilal Al Sarmi,Omani,717915660,Stub,,,,,,,left_only
3607,Stevo Pendarovski,Macedonia,717927538,Start,,,,,,,left_only
3647,Eduardo Bueso,Hondura,718132526,Stub,,,,,,,left_only
3710,Klaas Afrikaner,Cape Colony,718462130,Stub,,,,,,,left_only
3833,Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,Stub,,,,,,,left_only
3844,Namulau’ulu Vavae Tuilagi,Samoan,718995854,Stub,,,,,,,left_only
3905,Laurie Morgan,Guernsey,719122168,Stub,,,,,,,left_only
3918,Ngereteina Puna,Cook Island,719186872,Stub,,,,,,,left_only
3939,Christopher J. Turner,Montserratian,719256142,Start,,,,,,,left_only
4009,Elvin Santos,Hondura,719637124,Start,,,,,,,left_only
4025,Lefau Harry Schuster,Samoan,719691980,Stub,,,,,,,left_only
4031,Arthur Galsworthy,Pitcairn Islands,719706841,Stub,,,,,,,left_only
4094,Manuel Magalhaes de Oliveira,East Timorese,720011934,Stub,,,,,,,left_only
4096,Jaromír Jermář,Czech Republic,720027362,Stub,,,,,,,left_only
4226,Sam Condor,Saint Kitts and Nevis,720360218,Stub,,,,,,,left_only
4238,Aníbal Portillo,Salvadoran,720419598,Stub,,,,,,,left_only
4240,Robert Le Masurier,Jersey,720430005,Stub,,,,,,,left_only
4241,John Allen (diplomat),Tokelauan,720435378,Stub,,,,,,,left_only
4254,José Francisco Valiente,Salvadoran,720478176,Stub,,,,,,,left_only
4278,Joseph Nathaniel France,Saint Kitts and Nevis,720572188,Stub,,,,,,,left_only
4292,Diego de Holguín,Salvadoran,720623176,Stub,,,,,,,left_only
4293,Sigfrido Reyes Morales,Salvadoran,720633452,Start,,,,,,,left_only
4396,Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,Start,,,,,,,left_only
4494,Zurab Achba,Abkhazia,721094337,Stub,,,,,,,left_only
4519,José Endundo Bononge,"Congo, Dem. Rep. of",721206007,Stub,,,,,,,left_only
4612,Rostislav Khugayev,South Ossetian,721687759,Start,,,,,,,left_only
4625,Artur London,Czech Republic,721736524,Start,,,,,,,left_only
4673,Álvur Kirke,Faroese,721938213,Stub,,,,,,,left_only
4696,Marlon Pascua,Hondura,722006681,Stub,,,,,,,left_only
4734,Domingo Vásquez,Hondura,722195895,Stub,,,,,,,left_only
4755,Mohammed Al Rumhi,Omani,722258362,Stub,,,,,,,left_only
